Commission,ID,ProfitDate,ProfitTime,Stock,Total,Whish
"$1,177.50",141,2026-03-20 00:00:00,1899-12-30 20:58:47,"$2,005.27",0,"$3,374.14"
"$1,200.54",142,2026-03-21 00:00:00,1899-12-30 20:54:04,"$2,036.93",0,"$3,556.51"
"$1,255.96",143,2026-03-23 00:00:00,1899-12-30 20:50:26,"$2,069.04",0,"$3,772.15"
"$1,349.34",144,2026-03-24 00:00:00,1899-12-30 20:54:52,"$2,117.45",0,"$3,941.82"
"$1,395.05",145,2026-03-25 00:00:00,1899-12-30 22:35:42,"$2,144.70",0,"$4,292.99"
"$1,427.76",146,2026-03-26 00:00:00,1899-12-30 20:59:06,"$2,200.43",0,"$4,428.67"
"$1,469.40",147,2026-03-27 00:00:00,1899-12-30 21:06:47,"$2,372.03",0,"$4,670.81"
"$1,494.56",148,2026-03-28 00:00:00,1899-12-30 20:58:08,"$2,420.99",0,"$4,932.79"
"$1,557.76",149,2026-03-30 00:00:00,1899-12-30 21:00:29,"$2,530.85",0,"$5,112.76"
"$1,680.47",150,2026-03-31 00:00:00,1899-12-30 21:03:43,"$2,674.46",0,"$5,434.42"
$139.04,151,2026-04-01 00:00:00,1899-12-30 20:57:25,"$2,740.76",0,"$5,636.79"
$245.53,152,2026-04-02 00:00:00,1899-12-30 21:10:36,$0.38,0,$0.00
$288.61,153,2026-04-03 00:00:00,1899-12-30 20:55:46,$74.72,0,$253.24
$331.66,154,2026-04-04 00:00:00,1899-12-30 21:00:33,$143.77,0,$458.64
$365.54,155,2026-04-06 00:00:00,1899-12-30 20:57:54,$247.27,0,$593.86
$462.88,156,2026-04-07 00:00:00,1899-12-30 23:15:39,$349.81,0,$885.61
$530.14,157,2026-04-08 00:00:00,1899-12-30 20:56:01,$401.90,0,"$1,102.67"
$609.97,158,2026-04-09 00:00:00,1899-12-30 20:56:43,$507.02,0,"$1,337.43"
$664.36,159,2026-04-10 00:00:00,1899-12-30 20:55:43,$621.77,0,"$1,582.72"
$727.12,160,2026-04-11 00:00:00,1899-12-30 21:04:14,$680.12,0,"$1,824.21"
$767.60,161,2026-04-13 00:00:00,1899-12-30 20:59:46,$747.88,0,"$2,015.91"
$897.85,162,2026-04-14 00:00:00,1899-12-30 21:06:39,$664.63,0,"$2,214.40"
$952.57,163,2026-04-15 00:00:00,1899-12-30 21:25:18,$726.59,0,"$2,450.73"
$986.22,164,2026-04-16 00:00:00,1899-12-30 20:55:02,$778.47,0,"$2,714.44"
"$1,070.34",165,2026-04-17 00:00:00,1899-12-30 20:52:32,$808.77,0,"$2,966.17"
$229.21,1,2025-12-05 00:00:00,,$317.88,0,$777.18
$271.97,3,2025-12-06 00:00:00,1899-12-30 21:14:57,$368.93,0,$966.21
$272.81,4,2025-12-07 00:00:00,1899-12-30 20:52:35,$384.43,0,"$1,006.69"
$317.41,5,2025-12-08 00:00:00,1899-12-30 21:14:51,$434.00,0,"$1,280.51"
$350.27,6,2025-12-09 00:00:00,1899-12-30 22:27:56,$535.48,0,"$1,407.12"
$400.51,7,2025-12-10 00:00:00,1899-12-30 20:51:51,$587.70,0,"$1,667.95"
$444.90,8,2025-12-11 00:00:00,1899-12-30 20:33:58,$640.50,0,"$1,929.70"
$475.58,9,2025-12-12 00:00:00,1899-12-30 21:00:11,$735.10,0,"$2,175.09"
$510.53,10,2025-12-13 00:00:00,1899-12-30 22:15:13,$847.40,0,"$2,472.84"
$512.50,11,2025-12-14 00:00:00,1899-12-30 22:13:26,$859.00,0,"$2,396.62"
$579.25,12,2025-12-15 00:00:00,1899-12-30 21:03:45,$952.60,0,"$2,576.21"
$652.47,13,2025-12-16 00:00:00,1899-12-30 21:52:12,"$1,061.70",0,"$2,757.57"
$720.69,14,2025-12-17 00:00:00,1899-12-30 23:17:28,"$1,150.90",0,"$2,830.07"
$800.80,15,2025-12-18 00:00:00,1899-12-30 22:40:05,"$1,401.73",0,"$3,116.80"
$875.30,16,2025-12-19 00:00:00,1899-12-30 21:44:34,"$1,668.98",0,"$3,265.24"
$928.99,17,2025-12-20 00:00:00,1899-12-30 23:20:54,"$1,938.56",0,"$3,470.44"
$934.57,18,2025-12-21 00:00:00,1899-12-30 21:22:00,"$2,100.11",0,"$3,549.80"
"$1,012.31",19,2025-12-22 00:00:00,1899-12-30 21:15:42,"$2,403.46",0,"$3,908.31"
"$1,119.29",20,2025-12-23 00:00:00,1899-12-30 21:37:14,"$2,607.16",0,"$4,093.01"
"$1,185.77",21,2025-12-24 00:00:00,1899-12-30 18:57:30,"$3,076.24",0,"$4,333.84"
"$1,243.24",22,2025-12-26 00:00:00,1899-12-30 21:02:02,"$3,313.54",0,"$4,502.75"
"$1,297.10",23,2025-12-27 00:00:00,1899-12-30 21:02:26,"$3,447.89",0,"$4,688.63"
"$1,303.50",24,2025-12-28 00:00:00,1899-12-30 20:42:10,"$3,472.32",0,"$4,725.16"
"$1,339.74",25,2025-12-29 00:00:00,1899-12-30 20:53:04,"$3,554.02",0,"$5,066.88"
"$1,403.46",26,2025-12-30 00:00:00,1899-12-30 21:03:47,"$3,635.87",0,"$5,230.98"
"$1,494.35",27,2025-12-31 00:00:00,1899-12-30 18:59:22,"$3,749.47",0,"$5,426.11"
$13.61,28,2026-01-02 00:00:00,1899-12-30 22:39:14,"$3,811.57",0,"$5,758.36"
$97.02,29,2026-01-03 00:00:00,1899-12-30 21:27:44,"$3,906.57",0,"$4,020.40"
$182.10,30,2026-01-05 00:00:00,1899-12-30 21:11:11,$184.10,0,$335.80
$219.00,31,2026-01-06 00:00:00,1899-12-30 21:24:09,$205.40,0,$454.32
$275.43,32,2026-01-07 00:00:00,1899-12-30 21:14:05,$233.53,0,$693.10
$343.33,33,2026-01-08 00:00:00,1899-12-30 21:00:53,$276.28,0,$944.21
$417.57,34,2026-01-09 00:00:00,1899-12-30 21:04:46,$498.23,0,"$1,121.25"
$496.99,36,2026-01-10 00:00:00,1899-12-30 21:14:17,$618.13,0,"$1,377.78"
$575.79,37,2026-01-12 00:00:00,1899-12-30 20:52:29,$660.87,0,"$1,537.27"
$645.65,38,2026-01-13 00:00:00,1899-12-30 21:29:25,$691.32,0,"$1,753.17"
$716.39,39,2026-01-14 00:00:00,1899-12-30 20:59:59,$736.50,0,"$1,958.39"
$768.32,40,2026-01-15 00:00:00,1899-12-30 21:01:23,$795.59,0,"$2,185.05"
$810.55,41,2026-01-16 00:00:00,1899-12-30 21:00:08,$931.87,0,"$2,301.28"
$860.40,42,2026-01-17 00:00:00,1899-12-30 21:01:48,$997.65,0,"$2,515.33"
$935.27,43,2026-01-19 00:00:00,1899-12-30 20:53:21,"$1,047.51",0,"$2,862.37"
$972.84,44,2026-01-20 00:00:00,1899-12-30 20:51:29,"$1,092.26",0,"$3,065.42"
"$1,051.27",45,2026-01-21 00:00:00,1899-12-30 20:52:35,"$1,123.74",0,"$3,185.58"
"$1,099.35",46,2026-01-22 00:00:00,1899-12-30 20:56:43,"$1,200.14",0,"$3,302.43"
"$1,142.95",47,2026-01-23 00:00:00,1899-12-30 21:07:36,"$1,280.34",0,"$3,516.32"
"$1,196.81",48,2026-01-24 00:00:00,1899-12-30 20:54:23,"$1,339.15",0,"$3,768.76"
"$1,316.37",49,2026-01-26 00:00:00,1899-12-30 20:54:37,"$1,385.14",0,"$4,054.17"
"$1,369.42",50,2026-01-27 00:00:00,1899-12-30 20:52:17,"$1,459.69",0,"$4,251.77"
"$1,451.19",51,2026-01-28 00:00:00,1899-12-30 20:55:51,"$1,528.12",0,"$4,500.26"
"$1,531.35",52,2026-01-29 00:00:00,1899-12-30 21:00:37,"$1,625.79",0,"$4,696.02"
"$1,689.02",53,2026-01-30 00:00:00,1899-12-30 20:58:11,"$1,754.43",0,"$5,044.12"
"$1,854.47",54,2026-01-31 00:00:00,1899-12-30 21:55:03,"$1,785.92",0,"$5,369.87"
$105.31,55,2026-02-02 00:00:00,1899-12-30 20:58:06,"$1,874.07",0,"$5,927.63"
$226.00,56,2026-02-03 00:00:00,1899-12-30 21:00:42,"$1,927.72",0,"$7,988.31"
$302.90,57,2026-02-04 00:00:00,1899-12-30 20:55:35,"$2,030.62",0,"$8,427.08"
$419.24,58,2026-02-05 00:00:00,1899-12-30 21:00:11,"$2,139.76",0,"$4,687.50"
$419.24,103,2026-02-05 00:00:00,1899-12-30 21:00:11,$0.00,0,$0.00
$501.71,104,2026-02-06 00:00:00,1899-12-30 21:11:16,$15.09,0,$224.63
$559.49,105,2026-02-07 00:00:00,1899-12-30 20:57:31,$93.49,0,$391.59
$622.38,106,2026-02-09 00:00:00,1899-12-30 20:59:41,$170.24,0,$508.00
$687.51,107,2026-02-10 00:00:00,1899-12-30 20:59:17,$208.48,0,$817.62
$748.43,108,2026-02-11 00:00:00,1899-12-30 21:00:27,$280.93,0,"$1,002.42"
$813.65,109,2026-02-12 00:00:00,1899-12-30 20:59:37,$363.22,0,"$1,339.15"
$860.77,110,2026-02-13 00:00:00,1899-12-30 20:55:19,$410.96,0,"$1,524.16"
$937.28,111,2026-02-14 00:00:00,1899-12-30 20:56:17,$483.46,0,"$1,805.74"
$937.39,112,2026-02-15 00:00:00,1899-12-30 01:24:17,$483.46,0,"$1,895.75"
"$1,001.69",113,2026-02-16 00:00:00,1899-12-30 20:54:29,$535.16,0,"$2,115.20"
"$1,076.59",114,2026-02-17 00:00:00,1899-12-30 20:55:05,$562.74,0,"$2,276.82"
"$1,153.65",115,2026-02-18 00:00:00,1899-12-30 20:57:20,$591.88,0,"$2,440.69"
"$1,231.01",116,2026-02-19 00:00:00,1899-12-30 20:55:48,$642.32,0,"$2,525.79"
"$1,279.88",117,2026-02-20 00:00:00,1899-12-30 20:55:15,$658.62,0,"$2,667.53"
"$1,344.32",118,2026-02-21 00:00:00,1899-12-30 20:55:50,$683.47,0,"$2,879.79"
"$1,406.71",119,2026-02-23 00:00:00,1899-12-30 20:57:08,$706.57,0,"$3,160.44"
"$1,501.99",120,2026-02-24 00:00:00,1899-12-30 20:54:29,$751.89,0,"$3,345.26"
"$1,565.81",121,2026-02-25 00:00:00,1899-12-30 20:54:22,$793.08,0,"$3,563.64"
"$1,636.90",122,2026-02-26 00:00:00,1899-12-30 21:06:15,$823.23,0,"$3,840.95"
"$1,743.40",123,2026-02-27 00:00:00,1899-12-30 20:56:12,$876.00,0,"$3,998.20"
"$1,823.63",124,2026-02-28 00:00:00,1899-12-30 21:58:38,$945.04,0,"$4,248.08"
$59.88,125,2026-03-02 00:00:00,1899-12-30 20:53:17,"$1,011.62",0,"$4,625.26"
$0.00,126,2026-03-03 00:00:00,1899-12-30 22:58:21,"$1,079.27",0,$0.00
$178.53,127,2026-03-04 00:00:00,1899-12-30 21:08:39,$63.71,0,$281.09
$240.00,128,2026-03-05 00:00:00,1899-12-30 20:54:14,$70.03,0,$574.87
$305.37,129,2026-03-06 00:00:00,1899-12-30 20:57:15,$136.44,0,$900.84
$351.09,130,2026-03-07 00:00:00,1899-12-30 20:54:50,$244.74,0,"$1,157.22"
$445.45,131,2026-03-09 00:00:00,1899-12-30 20:57:14,"$1,366.71",0,"$1,380.56"
$530.13,132,2026-03-10 00:00:00,1899-12-30 20:53:18,"$1,380.26",0,"$1,586.17"
$601.04,133,2026-03-11 00:00:00,1899-12-30 20:54:20,"$1,448.81",0,"$1,776.71"
$685.28,134,2026-03-12 00:00:00,1899-12-30 21:01:08,"$1,540.70",0,"$1,991.72"
$751.89,135,2026-03-13 00:00:00,1899-12-30 22:11:32,"$1,622.20",0,"$2,147.94"
$774.79,136,2026-03-14 00:00:00,1899-12-30 20:55:56,"$1,711.01",0,"$2,387.06"
$847.67,137,2026-03-16 00:00:00,1899-12-30 20:55:38,"$1,754.89",0,"$2,610.20"
$908.42,138,2026-03-17 00:00:00,1899-12-30 20:53:27,"$1,804.43",0,"$2,793.41"
"$1,015.79",139,2026-03-18 00:00:00,1899-12-30 20:56:12,"$1,887.81",0,"$2,939.28"
"$1,116.83",140,2026-03-19 00:00:00,1899-12-30 20:56:11,"$1,900.65",0,"$3,213.73"
